Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,SP500,spread_mat,Mom,default_spread
1996-12-31,0.0031,0.0085,0.0243,0.0095,0.0188,0.0219,0.017,0.0112,0.0175,-0.0076,0.0082,-0.0183,0.0226,-0.021505376344086,0.008627272727272733,0.63,0.07092272727272725
1997-01-31,0.0548,0.0103,0.0946,0.0317,0.023,0.0242,0.0233,0.0128,0.0148,0.0821,0.0349,0.03,0.0153,0.0613170613170612,0.008268421052631578,1.96,0.06792105263157895
1997-02-28,0.013,0.0133,0.0769,0.0197,0.0149,0.0216,0.0103,0.0022,0.011,0.0182,-0.0158,0.0143,0.0235,0.0059275465554087204,0.008184999999999998,-2.13,0.062695
1997-03-31,-0.0141,0.0094,-0.0078,-0.0115,0.0018,0.0038,0.0008,-0.0042,0.0072,-0.0217,-0.0227,-0.0095,0.0053,-0.0426139955995044,0.008190909090909096,0.9,0.06478181818181818
1997-04-30,0.0286,0.0102,0.0197,0.0121,0.0033,0.0052,0.0048,-0.0167,0.0124,0.0595,0.0001,-0.0269,0.0056,0.0584055367709215,0.008095454545454545,4.84,0.06475454545454547
1997-05-31,0.0088,0.0168,0.0297,0.0303,0.0291,0.0345,0.0268,0.0131,0.0101,-0.0202,0.0514,-0.0076,0.011,0.058576883719769296,0.0072904761904761806,-5.17,0.061890476190476176
1997-06-30,0.0226,0.0209,0.0681,0.0118,0.017,0.0113,0.0208,0.0239,0.0087,0.021,0.0228,0.0021,0.0127,0.0434526335643892,0.0062772727272727286,2.6,0.06526818181818181
1997-07-31,0.0699,0.0211,0.0646,0.0326,0.0358,0.0353,0.0393,0.0121,0.0109,0.1013,0.0703,0.0569,0.0103,0.0781232347425264,0.006577272727272723,3.77,0.060022727272727255
1997-08-31,-0.0126,0.0175,-0.0365,-0.0092,-0.0026,-0.0091,0.0013,0.0057,0.0082,-0.0241,0.0062,-0.0727,0.0126,-0.0574458497940877,0.006195238095238087,-2.56,0.055928571428571425
1997-09-30,0.0399,0.0103,0.0278,0.0181,0.025,0.0297,0.0227,0.0148,0.0115,0.0463,0.0591,0.0363,0.024,0.053153523741758996,0.005534782608695651,1.47,0.053908695652173905
1997-10-31,-0.0164,0.0046,-0.0786,0.0081,0.0045,0.0122,-0.0005,0.0002,-0.0158,-0.0189,-0.0084,-0.0073,0.0312,-0.0344776623595979,0.004495238095238108,-0.57,0.0625142857142857
1997-11-30,0.01,-0.0082,-0.0476,-0.0038,0.0133,0.0184,0.0097,0.0109,0.004,0.0346,-0.0122,-0.0068,0.0073,0.0445868229428614,0.0036863636363636404,0.33,0.06762727272727272
1997-12-31,0.0322,0.0101,0.043,0.0004,0.0191,0.0039,0.0298,0.0201,0.0071,0.0514,0.0155,0.0282,0.0107,0.015731630730583902,0.004745454545454553,3.98,0.06554545454545452
